seq_no|Company|Supplier Invoice Document|Invoice Date|Invoice Line Amount|Invoice Created Date|Purchase Orders|Purchase Order Line|Item|Unit of Measure|Distribution Quantity|Line Description|Unit Cost|Supplier|Supplier ID|Ledger Account|Spend Category|Cost Center|Cost Center ID|Payment Status|Payment Date|FY25?|Check Number|Freight Amount|Other Charges|Invoice Status|Supplier Invoice Line Distribution|Invoice Total Amount|Derived Invoice Line Amount|CCHS_Description|UMass_Description
14851291|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-480470|11/26/2024|47.06|11/26/2024|PO-120610||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 3700 Nuclear Medicine|CC100203700|Paid|12/20/2024|Yes|1254317.0|0|0|Approved|Supplier Invoice Adjustment: SINV-480470  - -47.06|-894.1|47.06|Freight|freight
14851293|C710 Community Healthlink, Inc.|Supplier Invoice Adjustment: SINV-481064|11/25/2024|25.0|11/26/2024|PO-197636||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|71000 - 0126 TSS|CC710000126|Paid|12/18/2024|Yes|1254139.0|0|0|Approved|Supplier Invoice Adjustment: SINV-481064  - -25|-76.98|25.0|Freight|freight
14851296|C710 Community Healthlink, Inc.|Supplier Invoice Adjustment: SINV-481065|11/25/2024|25.0|11/26/2024|PO-199085||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|71000 - 0125 ATS|CC710000125|Paid|12/18/2024|Yes|1254139.0|0|0|Approved|Supplier Invoice Adjustment: SINV-481065  - -25|-52.84|25.0|Freight|freight
14851343|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice Adjustment: SINV-483850|11/28/2024|44.86|11/28/2024|PO-188101||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|34000 - 3000 Primary Care Geriatric|CC340003000|Paid|12/23/2024|Yes|1254800.0|0|0|Approved|Supplier Invoice Adjustment: SINV-483850  - -44.86|-126.18|44.86|Freight|freight
14851418|C210 Marlborough Hospital|Supplier Invoice Adjustment: SINV-486415|12/3/2024|25.0|12/3/2024|PO-170599||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 2340 Emergency Room|CC210002340|Paid|12/27/2024|Yes|1279632.0|0|0|Approved|Supplier Invoice Adjustment: SINV-486415  - -25|-169.62|25.0|Freight|freight
14851546|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-488337|12/3/2024|-422.3|12/4/2024|PO-202100|PO-202100 - Line 24|ITM-438270 - PACK SHOULDER ARTHROSCOPY CUSTOM|Case|1.0|PACK SHOULDER ARTHROSCOPY CUSTOM|422.3|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|Inventory|CC9000|Paid|12/27/2024|Yes|1279632.0|0|0|Approved|Supplier Invoice Adjustment: SINV-488337 - ITM-438270 - PACK SHOULDER ARTHROSCOPY CUSTOM - 422.3|-422.3|422.3|PACK, ARTHRO SHOULDER CUSTOM|PACK SHOULDER ARTHROSCOPY CUSTOM
14851598|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice Adjustment: SINV-490637|12/4/2024|40.52|12/5/2024|PO-201882||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 2116 Endoscopy Suite|CC250802116|Paid|12/27/2024|Yes|1279632.0|0|0|Approved|Supplier Invoice Adjustment: SINV-490637  - -40.52|-37.47|40.52|Freight|freight
14851674|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-496188|12/10/2024|25.0|12/11/2024|PO-198604||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 3392 Molecular Diagnostics|CC100203392|Paid|1/3/2025|Yes|1304641.0|0|0|Approved|Supplier Invoice Adjustment: SINV-496188  - -25|-100.36|25.0|Freight|freight
14851774|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice Adjustment: SINV-502271|12/12/2024|-8.13|12/16/2024|PO-205773||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 5800 Administration|CC250805800|Paid|1/6/2025|Yes|1305115.0|0|0|Approved|Supplier Invoice Adjustment: SINV-502271  - 8.13|-93.75|8.13|Freight|freight
14851776|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice Adjustment: SINV-502330|12/13/2024|29.46|12/16/2024|PO-205965||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 3825 Anesthesiology|CC250803825|Paid|1/6/2025|Yes|1305115.0|0|0|Approved|Supplier Invoice Adjustment: SINV-502330  - -29.46|-407.02|29.46|Freight|freight
14852324|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-524202|1/6/2025|-21.66|1/7/2025|PO-211232|PO-211232 - Line 4|ITM-418760 - SPLINT FINGER BASEBALL MEDIUM|Case|2.0|SPLINT FINGER BASEBALL MEDIUM|10.83|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|24050 - 4102 Urgent Care|CC240504102|Paid|1/29/2025|Yes|1405178.0|0|0|Approved|Supplier Invoice Adjustment: SINV-524202 - ITM-418760 - SPLINT FINGER BASEBALL MEDIUM - 21.66|-21.66|21.66|SPLINT, FINGER BASEBALL MEDIUM|SPLINT FINGER BASEBALL MEDIUM
14852325|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-524203|1/6/2025|-104.0|1/7/2025|PO-206308|PO-206308 - Line 1|ITM-412457 - MASK PROCEDURE EARLOOP STANDARD BLUE|Case|4.0|MASK PROCEDURE EARLOOP STANDARD BLUE|26.0|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10020 - 3804 Outpatient Infusion Cen Pharm|CC100203804|Paid|1/29/2025|Yes|1405178.0|0|0|Approved|Supplier Invoice Adjustment: SINV-524203 - ITM-412457 - MASK PROCEDURE EARLOOP STANDARD BLUE - 104|-79.0|104.0|MASK,FACE,BLUE,PROCEDURE,EARLOOP|MASK PROCEDURE EARLOOP STANDARD BLUE
