seq_no|Supplier|Invoice_Date|Line_Description|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
14873964|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|18.03
14873975|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|113.4
14873991|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|17.17
14874000|Medline Industries Inc|10/1/2024|FREIGHT|0.0||0.0|17.26
14876713|Medline Industries Inc|10/2/2024|ITM-422705 - PAD PREP ALCOHOL 2 PLY STERILE LARGE|1.0|Case|17.59|17.59
14876764|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|19.17
14876832|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|15.01
14876834|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|33.7
14876851|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|12.17
14876881|Medline Industries Inc|10/2/2024|ITM-418378 - DRESSING ANTIMICROBIAL FOAM AG 4INX4IN MEPILEX|3.0|Box|32.95|98.85
14876887|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|20.68
14876919|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|29.08
14876925|Medline Industries Inc|10/2/2024|[ Catalog: SQU420674 ] DRESSING,AQUACEL,XTRA HYDROFIBER,4 X 5|5.0|Box|28.58|142.9
14876926|Medline Industries Inc|10/2/2024|[ Catalog: MSC281224C ] UNDERPAD,LIGHT,17X24,300/CS|1.0|Case|16.0|16.0
14876927|Medline Industries Inc|10/2/2024|"[ Catalog: SQU422299BX ] DRESSING,AQUACEL,AG,ADVANTAGE,4""X5"""|1.0|Box|77.08|77.08
14876939|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|48.0
14876941|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|17.98
14876981|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|47.9
14876985|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|23.53
14876989|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|34.75
14877036|Medline Industries Inc|10/2/2024|ITM-435457 - TRAY CATHTER FOLEY URINE METER SILICONE 16FR SURESTEP|1.0|Case|194.7|194.7
14877041|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|33.2
14877075|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|292.27
14877077|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|21.35
14877097|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|15.99
14877153|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|14.4
14877155|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|222.4
14877164|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|14.4
14877180|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|42.68
14877184|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|16.59
14877188|Medline Industries Inc|10/2/2024|FREIGHT|0.0||0.0|35.99
14879307|Medline Industries Inc|10/3/2024|freight|0.0||0.0|21.4
14879316|Medline Industries Inc|10/3/2024|ITM-435437 - INDICATOR BIOLOGICAL RAPID READOUT ATTEST|6.0|Case|1406.25|8437.5
14879325|Medline Industries Inc|10/3/2024|freight|0.0||0.0|102.21
14879366|Medline Industries Inc|10/3/2024|freight|0.0||0.0|47.03
14879381|Medline Industries Inc|10/3/2024|freight|0.0||0.0|16.67
14879392|Medline Industries Inc|10/3/2024|freight|0.0||0.0|21.38
14879407|Medline Industries Inc|10/3/2024|freight|0.0||0.0|20.17
14879427|Medline Industries Inc|10/3/2024|freight|0.0||0.0|87.23
14879477|Medline Industries Inc|10/3/2024|freight|0.0||0.0|25.42
14879478|Medline Industries Inc|10/3/2024|"[ Catalog: NEUROSPNG14 ] SPONGE,NEURO,1""X3"",XR,STRL,LF,10/PK"|10.0|Case|62.07|620.7
14879498|Medline Industries Inc|10/3/2024|freight|0.0||0.0|16.65
14879526|Medline Industries Inc|10/3/2024|ITM-400468 - INDICATOR BIOLOGICAL STEAM STERILIZATION 1 HOUR BLUE ATTEST|1.0|Box|87.22|87.22
14879546|Medline Industries Inc|10/3/2024|freight|0.0||0.0|25.32
14879548|Medline Industries Inc|10/3/2024|freight|0.0||0.0|12.17
14879654|Medline Industries Inc|10/3/2024|freight|0.0||0.0|23.92
14879668|Medline Industries Inc|10/3/2024|freight|0.0||0.0|24.97
14879677|Medline Industries Inc|10/3/2024|freight|0.0||0.0|23.51
14879693|Medline Industries Inc|10/3/2024|freight|0.0||0.0|19.71
14879699|Medline Industries Inc|10/3/2024|ITM-443502 - DRESSING FOAM ANTIMICROBIAL EXUDING WOUND SELF ADHERENT WATERPROOF STERILE LATEX FREE 4INX10IN MEPILEX BORDER AG|2.0|Box|110.95|221.9
14882377|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|63.78
14882401|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|18.31
14882407|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|28.94
14882412|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|24.34
14882421|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|19.72
14882432|Medline Industries Inc|10/4/2024|ITM-422705 - PAD PREP ALCOHOL 2 PLY STERILE LARGE|1.0|Case|17.59|17.59
14882482|Medline Industries Inc|10/4/2024|ITM-429806 - PACK KIDNEY TRANSPLANT|1.0|Case|688.47|688.47
14882485|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|12.17
14882526|Medline Industries Inc|10/4/2024|ITM-409952 - CONTAINER SHARPS 5.4QT|1.0|Case|74.0|74.0
14882529|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|21.82
14882536|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|18.34
14882615|Medline Industries Inc|10/4/2024|ITM-425000 - DRESSING WOUND POST OP BORDER 4INX8IN MEPILEX AG|3.0|Box|89.95|269.85
14882646|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|26.8
14882721|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|82.14
14882762|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|23.53
14882765|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|0.04
14882767|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|17.98
14882790|Medline Industries Inc|10/4/2024|ITM-449186 - DRESSING GAUZE XEROFORM 4INX3YD STERILE CURAD|1.0|Case|139.28|139.28
14882792|Medline Industries Inc|10/4/2024|[ Catalog: PRM088003 ] BANDAGE,COHESIVE,TAN,3X5YD,LF,NS|2.0|Case|32.33|64.66
14882809|Medline Industries Inc|10/4/2024|FREIGHT|0.0||0.0|20.36
14884409|Medline Industries Inc|10/5/2024|ITM-404730 - THERMOMETER ELECTRONIC ORAL PROBE 4IN SURETEMP PLUS 692|2.0|Each|188.49|376.98
14884435|Medline Industries Inc|10/5/2024|ITM-435874 - WIPE TOWELETTES SOAP CASTILE|3.0|Box|2.63|7.89
14884479|Medline Industries Inc|10/5/2024|freight|0.0||0.0|36.94
14884500|Medline Industries Inc|10/5/2024|freight|0.0||0.0|15.99
14884501|Medline Industries Inc|10/5/2024|freight|0.0||0.0|16.67
14884759|Medline Industries Inc|10/5/2024|freight|0.0||0.0|32.59
14884760|Medline Industries Inc|10/5/2024|[ Catalog: STSSA1503WHSM ] SUPPORTER ATHLETIC SM|4.0|Each|15.74|62.96
14884761|Medline Industries Inc|10/5/2024|freight|0.0||0.0|15.99
14884798|Medline Industries Inc|10/5/2024|ITM-434462 - PACK KNEE ARTHROSCOPY HAHNEMANN CUSTOM|1.0|Case|104.86|104.86
14886755|Medline Industries Inc|10/7/2024|freight|0.0||0.0|28.94
14886759|Medline Industries Inc|10/7/2024|freight|0.0||0.0|14.4
14886763|Medline Industries Inc|10/7/2024|freight|0.0||0.0|12.17
14886824|Medline Industries Inc|10/7/2024|freight|0.0||0.0|33.33
14886834|Medline Industries Inc|10/7/2024|ITM-429806 - PACK KIDNEY TRANSPLANT|2.0|Case|688.47|1376.94
14886842|Medline Industries Inc|10/7/2024|ITM-425000 - DRESSING WOUND POST OP BORDER 4INX8IN MEPILEX AG|2.0|Box|89.95|179.9
14886843|Medline Industries Inc|10/7/2024|ITM-427589 - ALCOHOL ISOPROPYL 70PERCENT 1GALLON|2.0|Case|79.97|159.94
14886856|Medline Industries Inc|10/7/2024|freight|0.0||0.0|25.42
14886861|Medline Industries Inc|10/7/2024|ITM-413260 - BANDAGE ADHESIVE FABRIC STERILE 1INX3IN CURAD|1.0|Case|23.46|23.46
14886863|Medline Industries Inc|10/7/2024|freight|0.0||0.0|15.01
14886868|Medline Industries Inc|10/7/2024|ITM-435457 - TRAY CATHTER FOLEY URINE METER SILICONE 16FR SURESTEP|1.0|Case|194.7|194.7
14886871|Medline Industries Inc|10/7/2024|freight|0.0||0.0|22.6
14889281|Medline Industries Inc|10/8/2024|freight|0.0||0.0|19.56
14889288|Medline Industries Inc|10/8/2024|freight|0.0||0.0|20.36
14889289|Medline Industries Inc|10/8/2024|[ Catalog: PTX101858060H ] CANNULA,INNER,BLUE LINE ULTRA,F/SZ 6|1.0|Each|2.83|2.83
14889348|Medline Industries Inc|10/8/2024|freight|0.0||0.0|189.97
14889473|Medline Industries Inc|10/8/2024|freight|0.0||0.0|42.36
14889520|Medline Industries Inc|10/8/2024|freight|0.0||0.0|108.91
14892622|Medline Industries Inc|10/9/2024|freight|0.0||0.0|431.46
14892637|Medline Industries Inc|10/9/2024|freight|0.0||0.0|50.35
14892674|Medline Industries Inc|10/9/2024|freight|0.0||0.0|727.15
14892729|Medline Industries Inc|10/9/2024|ITM-448918 - DISPENSER WALL MOUNT EMESIS BAG|1.0|Case|85.62|85.62
14892735|Medline Industries Inc|10/9/2024|ITM-404730 - THERMOMETER ELECTRONIC ORAL PROBE 4IN SURETEMP PLUS 692|3.0|Each|188.49|565.47
14892756|Medline Industries Inc|10/9/2024|freight|0.0||0.0|14.34
14892836|Medline Industries Inc|10/9/2024|ITM-443502 - DRESSING FOAM ANTIMICROBIAL EXUDING WOUND SELF ADHERENT WATERPROOF STERILE LATEX FREE 4INX10IN MEPILEX BORDER AG|1.0|Box|110.95|110.95
14892847|Medline Industries Inc|10/9/2024|freight|0.0||0.0|2.74
14892861|Medline Industries Inc|10/9/2024|freight|0.0||0.0|20.68
14892890|Medline Industries Inc|10/9/2024|ITM-400881 - SUTURE ETHILON 7/0 P-1 18IN|1.0|Box|42.34|42.34
14892918|Medline Industries Inc|10/9/2024|freight|0.0||0.0|20.59
