SEQ_NO|SUPPLIER|INVOICE_DATE|LINE_DESCRIPTION|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
1363050|1580 Medline Industries Inc|2024-12-11|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|4.0|Box|14.75|59.0
1363642|1580 Medline Industries Inc|2024-12-11|SUTURE, 3-0 SILK RB-1 30IN BRAIDED BLACK|1.0||73.95|73.95
1363687|1580 Medline Industries Inc|2024-12-11|SCISSOR, ENDO SHEARS 5MM|2.0||351.84|703.68
1363701|1580 Medline Industries Inc|2024-12-11|SUTURE, 3-0 27IN MONOCRYL ANTIBACTERIAL UNDYED SH|1.0||91.83|91.83
1363720|1580 Medline Industries Inc|2024-12-11|SUTURE, 2-0 SILK FS 18IN|2.0||22.89|45.78
1363727|1580 Medline Industries Inc|2024-12-11|SUTURE, 2-0 SILK FS 18IN|2.0||22.89|45.78
1365601|1580 Medline Industries Inc|2024-12-09|"SPONGE,NEURO,0.5""X0.5"",XR,STRL,10/PK"|20.0|Package|3.54|70.8
1365667|1580 Medline Industries Inc|2024-12-09|Thermometers, Medical: SureTemp Plus 692 Electronic Thermometer with Oral Probe|4.0|Each|182.6|730.4
1365936|1580 Medline Industries Inc|2024-12-09|SCISSOR, ENDO SHEARS 5MM|1.0||351.84|351.84
1366000|1580 Medline Industries Inc|2024-12-08|BANDAGE GZ 6 PLY BULKEE II 4.5INX4.1YD|40.0|Case|59.74|2389.6
1366175|1580 Medline Industries Inc|2024-12-07|SYRINGE,10ML,SLIP TIP,DISPOSABLE|20.0|Each|0.3|6.0
1366177|1580 Medline Industries Inc|2024-12-07|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|4.0|Box|14.75|59.0
1366182|1580 Medline Industries Inc|2024-12-07|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|15.0|Box|3.26|48.9
1366184|1580 Medline Industries Inc|2024-12-07|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|5.0|Bag|1.86|9.3
1366193|1580 Medline Industries Inc|2024-12-07|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|10.0|Box|29.33|293.3
1366194|1580 Medline Industries Inc|2024-12-07|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|20.0|Bag|1.86|37.2
1366231|1580 Medline Industries Inc|2024-12-07|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|2.0|Box|3.26|6.52
1366241|1580 Medline Industries Inc|2024-12-07|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|6.0|Box|3.26|19.56
1366247|1580 Medline Industries Inc|2024-12-07|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|2.0|Box|29.33|58.66
1366309|1580 Medline Industries Inc|2024-12-07|APPLIER, ENDO CLIP III 5MM|1.0||821.64|821.64
1366311|1580 Medline Industries Inc|2024-12-07|SCISSOR, ENDO SHEARS 5MM|1.0||351.84|351.84
1366313|1580 Medline Industries Inc|2024-12-07|RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM|2.0||1182.0|2364.0
1367049|1580 Medline Industries Inc|2024-12-06|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|2.0|Bag|1.86|3.72
1367066|1580 Medline Industries Inc|2024-12-06|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|6.0|Box|3.26|19.56
1367125|1580 Medline Industries Inc|2024-12-06|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|1.0|Case|134.6|134.6
1367139|1580 Medline Industries Inc|2024-12-06|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|2.0|Case|134.6|269.2
1367161|1580 Medline Industries Inc|2024-12-06|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|10.0|Box|14.75|147.5
1367533|1580 Medline Industries Inc|2024-12-06|SUTURE, 2-0 SILK FS 18IN|2.0||22.89|45.78
1367599|1580 Medline Industries Inc|2024-12-05|EXTENDER TB MICROTAINER|12.0|Case|44.04|528.48
1367610|1580 Medline Industries Inc|2024-12-05|CAP SHAMPOO CONDITIONER READYBATH|15.0|Case|48.28|724.2
1368196|1580 Medline Industries Inc|2024-12-05|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|4.0|Box|3.26|13.04
1368222|1580 Medline Industries Inc|2024-12-05|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|10.0|Box|3.26|32.6
1368240|1580 Medline Industries Inc|2024-12-05|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|3.0|Box|3.26|9.78
1368282|1580 Medline Industries Inc|2024-12-05|Skin Prep Applicators: BD ChloraPrep Hi-Lite Orange 10.5 mL Skin Prep Applicator|10.0|Each|3.78|37.8
1368322|1580 Medline Industries Inc|2024-12-05|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|3.0|Box|3.26|9.78
1368426|1580 Medline Industries Inc|2024-12-05|Compressors: Aeromist Compact Nebulizer CompressorAeromist Compact Nebulizer Com|1.0|Each|17.6|17.6
1368757|1580 Medline Industries Inc|2024-12-05|SCISSOR, ENDO SHEARS 5MM|1.0||351.84|351.84
1368758|1580 Medline Industries Inc|2024-12-05|APPLIER, ENDO CLIP III 5MM|1.0||821.64|821.64
1368774|1580 Medline Industries Inc|2024-12-05|SUTURE, 3-0 SILK RB-1 30IN BRAIDED BLACK|1.0||67.74|67.74
1368782|1580 Medline Industries Inc|2024-12-05|APPLIER, ENDO CLIP III 5MM|1.0||821.64|821.64
1368795|1580 Medline Industries Inc|2024-12-05|PACK, ARTHROSCOPY KNEE CUSTOM|1.0||207.91|207.91
1369691|1580 Medline Industries Inc|2024-12-04|Masks: ASTM Level 1 Procedure Face Mask with Ear Loops, BlueMedline ASTM Level 1|10.0|Box|3.26|32.6
1369712|1580 Medline Industries Inc|2024-12-04|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|6.0|Bag|1.86|11.16
1369750|1580 Medline Industries Inc|2024-12-04|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|2.0|Case|1367.9|2735.8
1370211|1580 Medline Industries Inc|2024-12-04|RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM|1.0||1182.0|1182.0
1371507|1580 Medline Industries Inc|2024-12-02|Freight|0.0||0.0|13.69
1373719|1580 Medline Industries Inc|2024-11-30|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|4.0|Box|33.65|134.6
1375259|1580 Medline Industries Inc|2024-11-29|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|6.0|Bag|1.86|11.16
1375288|1580 Medline Industries Inc|2024-11-29|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|1.0|Box|29.33|29.33
1375433|1580 Medline Industries Inc|2024-11-29|SUTURE, 3-0 27IN MONOCRYL ANTIBACTERIAL UNDYED SH|1.0||91.83|91.83
1375448|1580 Medline Industries Inc|2024-11-29|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED PS-2|1.0||83.19|83.19
1375554|1580 Medline Industries Inc|2024-11-28|Horizontal-Mount Wire Triple Glove Box Holder|3.0|Case|87.27|261.81
1375699|1580 Medline Industries Inc|2024-11-27|TAPE MEASURING FLEX PAPER LF INF 72IN|1.0|Case|83.81|83.81
1376343|1580 Medline Industries Inc|2024-11-27|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|1.0|Case|1367.9|1367.9
1376444|1580 Medline Industries Inc|2024-11-27|TUBING STERILIZATION STEAM AND GAS PAPER/POLY 8INX100FT|2.0|Case|58.27|116.54
1376454|1580 Medline Industries Inc|2024-11-27|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|1.0|Case|1367.91|1367.91
1377242|1580 Medline Industries Inc|2024-11-27|SCISSOR, ENDO SHEARS 5MM|1.0||351.84|351.84
1377271|1580 Medline Industries Inc|2024-11-27|SUTURE, 2-0 SILK FS 18IN|1.0||22.89|22.89
1377281|1580 Medline Industries Inc|2024-11-27|SUTURE, 3-0 27IN MONOCRYL ANTIBACTERIAL UNDYED SH|1.0||91.83|91.83
1378015|1580 Medline Industries Inc|2024-11-26|Freight|0.0||0.0|40.82
1379285|1580 Medline Industries Inc|2024-11-25|Freight|0.0||0.0|12.62
1380612|1580 Medline Industries Inc|2024-11-23|Freight|0.0||0.0|13.38
1380740|1580 Medline Industries Inc|2024-11-23|INFUSOR PRESSURE SLEEVE WITH STOPCOCK VALVE LATEX FREE DISPOSABLE 1000ML|10.0|Each|12.72|127.2
1380796|1580 Medline Industries Inc|2024-11-23|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 6.|25.0|Pair|1.48|37.0
1380821|1580 Medline Industries Inc|2024-11-23|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|4.0|Bag|1.86|7.44
1380859|1580 Medline Industries Inc|2024-11-23|INFUSOR PRESSURE SLEEVE WITH STOPCOCK VALVE LATEX FREE DISPOSABLE 1000ML|12.0|Each|12.72|152.64
1380865|1580 Medline Industries Inc|2024-11-23|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|6.0|Bag|1.86|11.16
1380918|1580 Medline Industries Inc|2024-11-23|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 6.|1.0|Box|74.0|74.0
1380919|1580 Medline Industries Inc|2024-11-23|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 7.|10.0|Pair|1.48|14.8
1380967|1580 Medline Industries Inc|2024-11-23|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED PS-2|1.0||85.24|85.24
1380968|1580 Medline Industries Inc|2024-11-23|SUTURE, 2-0 SILK FS 18IN|2.0||23.46|46.92
1381009|1580 Medline Industries Inc|2024-11-22|Freight|0.0||0.0|23.63
1381054|1580 Medline Industries Inc|2024-11-22|Freight|0.0||0.0|15.7
1381818|1580 Medline Industries Inc|2024-11-22|INFUSOR PRESSURE SLEEVE WITH STOPCOCK VALVE LATEX FREE DISPOSABLE 1000ML|12.0|Each|12.72|152.64
1381869|1580 Medline Industries Inc|2024-11-22|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|4.0|Box|14.75|59.0
1381893|1580 Medline Industries Inc|2024-11-22|Replacement 3.5V Lamp for Macroview Otoscope|2.0|Box|94.83|189.66
1381908|1580 Medline Industries Inc|2024-11-22|INFUSOR PRESSURE SLEEVE WITH STOPCOCK VALVE LATEX FREE DISPOSABLE 1000ML|12.0|Each|12.72|152.64
1381942|1580 Medline Industries Inc|2024-11-22|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|3.0|Box|14.75|44.25
1382263|1580 Medline Industries Inc|2024-11-22|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED PS-2|1.0||83.19|83.19
1382288|1580 Medline Industries Inc|2024-11-22|RELOAD, ARTICULATING ENDO GIA TRISTAPLE MED TAN 60MM|2.0||1182.0|2364.0
1382292|1580 Medline Industries Inc|2024-11-22|SUTURE, 3-0 27IN MONOCRYL ANTIBACTERIAL UNDYED SH|1.0||91.83|91.83
1382411|1580 Medline Industries Inc|2024-11-21|Freight|0.0||0.0|13.93
1383236|1580 Medline Industries Inc|2024-11-21|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|1.0|Case|1367.9|1367.9
1383364|1580 Medline Industries Inc|2024-11-21|Test Kits: hCG Pregnancy Test, Cassette, 25 mIU/mLMedline Premium hCG Pregnancy|1.0|Box|29.33|29.33
1383791|1580 Medline Industries Inc|2024-11-20|SYSTEM VISUALIZATION ENDO CLEARIFY 8X6IN|30.0|Package|410.0|12300.0
1383794|1580 Medline Industries Inc|2024-11-20|Freight|0.0||0.0|214.55
1383796|1580 Medline Industries Inc|2024-11-20|Freight|0.0||0.0|10.57
1383917|1580 Medline Industries Inc|2024-11-20|FIELD STERILE TISSUE-POLY-TISS 18X26|4.0|Case|61.79|247.16
1385168|1580 Medline Industries Inc|2024-11-20|PACK, ARTHROSCOPY KNEE CUSTOM|1.0||207.91|207.91
